ACTIVITYCODE,ACTIVITYENGLISH,ACTIVITYARABIC
G513116,Slippers and Sandals Trading,تجارة النعال والصنادل
G513933,Toys and Games Trading,تجارة لعب الأطفال
G513112,Ladies Garment Trading,تجارة الملابس الجاهزة النسائية
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513102,"Blankets, Towels and Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513931,Gifts Trading,تجارة الهدايا
F453001,"Air-Conditioning, Ventilations & Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F453013,Plumbing and Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454003,Floor and wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454019,Plaster & Cladding Works,أعمال التكسية
F454005,Carpentry & Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454010,Engraving and Ornamentation Works,أعمال النقش والزخرفة
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions & False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454004,Painting Contracting,أعمال الأصباغ والدهانات
K749301,Building Cleaning Services,خدمات تنظيف المباني والمساكن
G514313,Sanitary Ware Trading,تجارة الأدوات الصحية
G514314,Electrical Fittings Trading,تجارة أدوات التمديدات الكهربائية
A011202,"Growing & Planting Trees Seedling,  Ornamental Plants and Annual Flowers",زراعة شتلات الأشجار والنباتات
G512103,Flowers & Ornamental Plants Trading,تجارة زهور القطف ونباتات الزينة الداخلية
G515902,Agricultural Equipment & Accessories Trading,تجارة المعدات والمكائن الزراعية ولوازمها
G514926,Organic Fertilizer & Plant Feed Trading,تجارة الأسمدة العضوية والمصلحات الزراعية
G512117,"Trees Seedlings, Ornamental Plants & Annual Flowers Trading",تجارة شتلات الأشجار ونباتات الزينة والزهور الحولية
G515207,Mobile Phones Trading,تجارة الهواتف المتحركة
G513927,Watches & Clocks & Spare Parts Trading,تجارة الساعات وقطع غيارها
G515104,Computer Equipment Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
F453001,"Air-Condition, Ventilations, Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F453013,Plumbing & Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454019,Cladding Works,أعمال التكسية
F454005,Carpentry & Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454010,Engraving & Ornamentation  Works,أعمال النقش والزخرفة
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions & False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F453010,Communication and Wireless System Equipment Installation,تركيب معدات أنظمة الإتصال السلكي واللاسلكي
F453009,Internal Communication Network Installation and Maintenance,تركيب شبكات الإتصال الداخلي وصيانتها
G513928,Jewellery Trading,تجارة المجوهرات والمصوغات من الذهب والفضة
I630101,Customs Broker,المخلص الجمركي
I630102,Cargo Loading & Unloading Services,خدمات تحميل وتفريغ البضائع
I630103,Cargo Packaging,خدمات حزم البضائع
I630104,Sea Cargo Services,خدمات الشحن البحري للبضائع
I630403,Shipping Lines Agents,وكيل خطوط ملاحية
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513934,Novelties Trading,تجارة التحف الفنية
G513945,Suitcases & Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G513958,Perfumes and Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513117,Shoe Trading,تجارة الأحذية
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513936,Artificial Flowers & Plants Trading,تجارة الزهور والنباتات الصناعية والمجففة
G513961,Sunglasses Trading,تجارة النظارات الشمسية
G515974,Engines and Machinery Spare Parts Trading,تجارة قطع غيار المكائن والمحركات
G515918,Heavy Equipment and Machinery Spare Parts Trading,تجارة قطع غيار الآلات والمعدات الثقيلة
G511003,Commercial Brokers,وسيط تجاري
G521904,General Trading,تجارة عامة
G513109,Babywear Trading,تجارة ملابس الأطفال
G513111,Men's Garment Trading,تجارة الملابس الجاهزة الرجالية
G513112,Ladies Garment Trading,تجارة الملابس الجاهزة النسائية
I642001,Telecommunications Services,خدمات الإتصالات السلكية واللاسلكية
G526013,Mobile Phone Repair,إصلاح الهواتف المتحركة
K725001,Computer Repair and Maintenance,إصلاح أجهزة الحاسب الآلي وصيانتها
G514300,Building & Construction Materials Trading,تجارة مواد البناء
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
G513923,Home Furniture Trading,تجارة الأثاث المنزلي
G514323,Metal Blinds Trading,تجارة الستائر المعدنية العمودية
G503001,Auto Spare Parts and components Trading,تجارة قطع غيار السيارات والمركبات ومكوناتها
G503002,Auto Accessories Trading,تجارة الأجزاء الإضافية للسيارات
G503003,Tyres and Rims Trading,تجارة إطارات السيارات
G503006,Batteries Trading,تجارة البطاريات السائلة
G514209,Workshop Hardware & Tools Trading,تجارة عدد وأدوات الورش
G513921,Aircondition & Refrigeration Spare Parts Trading,تجارة قطع غيار أجهزة التكييف والتبريد ومكوناتها
Other,Other Activity,نشاط آخر
G521904,General Trading,تجارة عامة
F453001,"Air-Condition, Ventilations, Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F453013,Plumbing and Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F453014,Electrical Fitting Contracting,أعمال التمديدات الكهربائية
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454005,Carpentry & Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454006,Insulation Contracting,تركيب المواد العازلة في الأبنية والمنشآت المدنية
F454010,Engraving and Ornamentation Works,أعمال النقش والزخرفة
F454004,Painting Contracting,أعمال الأصباغ والدهانات
G513945,Suitcases & Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G513958,Perfumes & Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G521904,General Trading,تجارة عامة
F453013,Plumbing and Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F453001,"Air-Condition, Ventilations, Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F453011,Metal Parts Fixtures Contracting,تركيب التجهيزات والأجزاء المعدنية
F454003,Floor and wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454010,Engraving & Ornamentation  Works,أعمال النقش والزخرفة
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
